sov_line_id,description,scheduled_value,previous_billed,this_period,total_billed,pct_complete,balance_to_finish,project_id,application_number
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,76200,68700,144900,17.7,675500,PRJ-2024-001,6
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,42100,33200,75300,17.4,357500,PRJ-2024-001,6
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,1133200,141200,1274400,61.7,789800,PRJ-2024-001,7
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,407700,54000,461700,62.3,279100,PRJ-2024-001,7
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,1274100,166600,1440700,47.6,1583600,PRJ-2024-001,7
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,1773100,255700,2028800,48.3,2173200,PRJ-2024-001,7
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,1458400,193200,1651600,47.6,1817800,PRJ-2024-001,7
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,882800,110800,993600,47.7,1088400,PRJ-2024-001,7
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,2336000,289400,2625400,47.8,2863400,PRJ-2024-001,7
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,1508800,195300,1704100,47.8,1857500,PRJ-2024-001,7
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,1114400,140900,1255300,47.5,1385100,PRJ-2024-001,7
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,760300,139900,900200,37.4,1508500,PRJ-2024-001,7
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,508300,98300,606600,37.8,998100,PRJ-2024-001,7
PRJ-2024-001-SOV-12,Insulation,1868500,578300,130400,708700,37.9,1159800,PRJ-2024-001,7
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,139500,59900,199400,25.4,586000,PRJ-2024-001,7
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,144900,57800,202700,24.7,617700,PRJ-2024-001,7
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,75300,33400,108700,25.1,324100,PRJ-2024-001,7
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,1274400,163600,1438000,69.7,626200,PRJ-2024-001,8
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,461700,51700,513400,69.3,227400,PRJ-2024-001,8
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,1440700,180100,1620800,53.6,1403500,PRJ-2024-001,8
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,2028800,212600,2241400,53.3,1960600,PRJ-2024-001,8
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,1651600,196300,1847900,53.3,1621500,PRJ-2024-001,8
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,993600,113300,1106900,53.2,975100,PRJ-2024-001,8
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,2625400,298500,2923900,53.3,2564900,PRJ-2024-001,8
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,1704100,192000,1896100,53.2,1665500,PRJ-2024-001,8
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,1255300,161500,1416800,53.7,1223600,PRJ-2024-001,8
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,900200,151400,1051600,43.7,1357100,PRJ-2024-001,8
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,606600,107000,713600,44.5,891100,PRJ-2024-001,8
PRJ-2024-001-SOV-12,Insulation,1868500,708700,125400,834100,44.6,1034400,PRJ-2024-001,8
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,199400,60500,259900,33.1,525500,PRJ-2024-001,8
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,202700,68200,270900,33.0,549500,PRJ-2024-001,8
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,108700,33100,141800,32.8,291000,PRJ-2024-001,8
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,1438000,148800,1586800,76.9,477400,PRJ-2024-001,9
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,513400,58200,571600,77.2,169200,PRJ-2024-001,9
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,1620800,154000,1774800,58.7,1249500,PRJ-2024-001,9
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,2241400,255400,2496800,59.4,1705200,PRJ-2024-001,9
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,1847900,185700,2033600,58.6,1435800,PRJ-2024-001,9
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,1106900,129300,1236200,59.4,845800,PRJ-2024-001,9
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,2923900,325700,3249600,59.2,2239200,PRJ-2024-001,9
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,1896100,203000,2099100,58.9,1462500,PRJ-2024-001,9
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,1416800,133100,1549900,58.7,1090500,PRJ-2024-001,9
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,1051600,170500,1222100,50.7,1186600,PRJ-2024-001,9
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,713600,105400,819000,51.0,785700,PRJ-2024-001,9
PRJ-2024-001-SOV-12,Insulation,1868500,834100,103200,937300,50.2,931200,PRJ-2024-001,9
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,259900,61500,321400,40.9,464000,PRJ-2024-001,9
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,270900,60300,331200,40.4,489200,PRJ-2024-001,9
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,141800,35300,177100,40.9,255700,PRJ-2024-001,9
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,1586800,140800,1727600,83.7,336600,PRJ-2024-001,10
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,571600,47100,618700,83.5,122100,PRJ-2024-001,10
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,1774800,175100,1949900,64.5,1074400,PRJ-2024-001,10
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,2496800,222800,2719600,64.7,1482400,PRJ-2024-001,10
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,2033600,206100,2239700,64.6,1229700,PRJ-2024-001,10
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,1236200,99800,1336000,64.2,746000,PRJ-2024-001,10
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,3249600,315400,3565000,65.0,1923800,PRJ-2024-001,10
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,2099100,186600,2285700,64.2,1275900,PRJ-2024-001,10
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,1549900,163600,1713500,64.9,926900,PRJ-2024-001,10
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,1222100,161700,1383800,57.5,1024900,PRJ-2024-001,10
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,819000,103500,922500,57.5,682200,PRJ-2024-001,10
PRJ-2024-001-SOV-12,Insulation,1868500,937300,127900,1065200,57.0,803300,PRJ-2024-001,10
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,321400,57800,379200,48.3,406200,PRJ-2024-001,10
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,331200,61000,392200,47.8,428200,PRJ-2024-001,10
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,177100,31900,209000,48.3,223800,PRJ-2024-001,10
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,1727600,151600,1879200,91.0,185000,PRJ-2024-001,11
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,618700,58700,677400,91.4,63400,PRJ-2024-001,11
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,1949900,164600,2114500,69.9,909800,PRJ-2024-001,11
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,2719600,243200,2962800,70.5,1239200,PRJ-2024-001,11
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,2239700,192500,2432200,70.1,1037200,PRJ-2024-001,11
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,1336000,126900,1462900,70.3,619100,PRJ-2024-001,11
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,3565000,287500,3852500,70.2,1636300,PRJ-2024-001,11
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,2285700,207200,2492900,70.0,1068700,PRJ-2024-001,11
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,1713500,128900,1842400,69.8,798000,PRJ-2024-001,11
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,1383800,150600,1534400,63.7,874300,PRJ-2024-001,11
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,922500,102400,1024900,63.9,579800,PRJ-2024-001,11
PRJ-2024-001-SOV-12,Insulation,1868500,1065200,119000,1184200,63.4,684300,PRJ-2024-001,11
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,379200,61400,440600,56.1,344800,PRJ-2024-001,11
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,392200,62700,454900,55.4,365500,PRJ-2024-001,11
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,209000,32600,241600,55.8,191200,PRJ-2024-001,11
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,1879200,155700,2034900,98.6,29300,PRJ-2024-001,12
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,677400,52700,730100,98.6,10700,PRJ-2024-001,12
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,2114500,165500,2280000,75.4,744300,PRJ-2024-001,12
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,2962800,226700,3189500,75.9,1012500,PRJ-2024-001,12
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,2432200,191600,2623800,75.6,845600,PRJ-2024-001,12
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,1462900,105900,1568800,75.4,513200,PRJ-2024-001,12
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,3852500,317300,4169800,76.0,1319000,PRJ-2024-001,12
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,2492900,206700,2699600,75.8,862000,PRJ-2024-001,12
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,1842400,161500,2003900,75.9,636500,PRJ-2024-001,12
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,1534400,148100,1682500,69.9,726200,PRJ-2024-001,12
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,1024900,96900,1121800,69.9,482900,PRJ-2024-001,12
PRJ-2024-001-SOV-12,Insulation,1868500,1184200,118900,1303100,69.7,565400,PRJ-2024-001,12
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,440600,65300,505900,64.4,279500,PRJ-2024-001,12
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,454900,70200,525100,64.0,295300,PRJ-2024-001,12
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,241600,36700,278300,64.3,154500,PRJ-2024-001,12
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,2034900,26100,2061000,99.8,3200,PRJ-2024-001,13
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,730100,10600,740700,100.0,100,PRJ-2024-001,13
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,2280000,176000,2456000,81.2,568300,PRJ-2024-001,13
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,3189500,209500,3399000,80.9,803000,PRJ-2024-001,13
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,2623800,192700,2816500,81.2,652900,PRJ-2024-001,13
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,1568800,124100,1692900,81.3,389100,PRJ-2024-001,13
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,4169800,307000,4476800,81.6,1012000,PRJ-2024-001,13
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,2699600,193400,2893000,81.2,668600,PRJ-2024-001,13
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,2003900,143000,2146900,81.3,493500,PRJ-2024-001,13
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,1682500,143100,1825600,75.8,583100,PRJ-2024-001,13
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,1121800,98800,1220600,76.1,384100,PRJ-2024-001,13
PRJ-2024-001-SOV-12,Insulation,1868500,1303100,121100,1424200,76.2,444300,PRJ-2024-001,13
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,505900,55500,561400,71.5,224000,PRJ-2024-001,13
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,525100,58300,583400,71.1,237000,PRJ-2024-001,13
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,278300,34000,312300,72.2,120500,PRJ-2024-001,13
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,2061000,3200,2064200,100.0,0,PRJ-2024-001,14
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,740700,100,740800,100.0,0,PRJ-2024-001,14
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,2456000,157100,2613100,86.4,411200,PRJ-2024-001,14
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,3399000,243200,3642200,86.7,559800,PRJ-2024-001,14
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,2816500,208900,3025400,87.2,444000,PRJ-2024-001,14
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,1692900,109100,1802000,86.6,280000,PRJ-2024-001,14
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,4476800,275600,4752400,86.6,736400,PRJ-2024-001,14
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,2893000,207600,3100600,87.1,461000,PRJ-2024-001,14
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,2146900,154300,2301200,87.2,339200,PRJ-2024-001,14
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,1825600,166800,1992400,82.7,416300,PRJ-2024-001,14
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,1220600,109100,1329700,82.9,275000,PRJ-2024-001,14
PRJ-2024-001-SOV-12,Insulation,1868500,1424200,110400,1534600,82.1,333900,PRJ-2024-001,14
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,561400,65600,627000,79.8,158400,PRJ-2024-001,14
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,583400,64600,648000,79.0,172400,PRJ-2024-001,14
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,312300,31200,343500,79.4,89300,PRJ-2024-001,14
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,2613100,170900,2784000,92.1,240300,PRJ-2024-001,15
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,3642200,247100,3889300,92.6,312700,PRJ-2024-001,15
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,3025400,172300,3197700,92.2,271700,PRJ-2024-001,15
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,1802000,124400,1926400,92.5,155600,PRJ-2024-001,15
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,4752400,296900,5049300,92.0,439500,PRJ-2024-001,15
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,3100600,200400,3301000,92.7,260600,PRJ-2024-001,15
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,2301200,144200,2445400,92.6,195000,PRJ-2024-001,15
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,1992400,149100,2141500,88.9,267200,PRJ-2024-001,15
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,1329700,90200,1419900,88.5,184800,PRJ-2024-001,15
PRJ-2024-001-SOV-12,Insulation,1868500,1534600,132800,1667400,89.2,201100,PRJ-2024-001,15
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,627000,63000,690000,87.9,95400,PRJ-2024-001,15
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,648000,69600,717600,87.5,102800,PRJ-2024-001,15
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,343500,32500,376000,86.9,56800,PRJ-2024-001,15
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,2784000,171000,2955000,97.7,69300,PRJ-2024-001,16
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,3889300,210200,4099500,97.6,102500,PRJ-2024-001,16
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,3197700,183900,3381600,97.5,87800,PRJ-2024-001,16
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,1926400,113500,2039900,98.0,42100,PRJ-2024-001,16
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,5049300,343900,5393200,98.3,95600,PRJ-2024-001,16
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,3301000,171900,3472900,97.5,88700,PRJ-2024-001,16
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,2445400,131500,2576900,97.6,63500,PRJ-2024-001,16
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,2141500,151300,2292800,95.2,115900,PRJ-2024-001,16
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,1419900,108900,1528800,95.3,75900,PRJ-2024-001,16
PRJ-2024-001-SOV-12,Insulation,1868500,1667400,109300,1776700,95.1,91800,PRJ-2024-001,16
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,690000,55900,745900,95.0,39500,PRJ-2024-001,16
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,717600,63000,780600,95.1,39800,PRJ-2024-001,16
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,376000,32600,408600,94.4,24200,PRJ-2024-001,16
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,2955000,12300,2967300,98.1,57000,PRJ-2024-001,18
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,4099500,21000,4120500,98.1,81500,PRJ-2024-001,18
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,3381600,21700,3403300,98.1,66100,PRJ-2024-001,18
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,2039900,2700,2042600,98.1,39400,PRJ-2024-001,18
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,3472900,19300,3492200,98.1,69400,PRJ-2024-001,18
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,2576900,12000,2588900,98.0,51500,PRJ-2024-001,18
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,2292800,9200,2302000,95.6,106700,PRJ-2024-001,18
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,1528800,4300,1533100,95.5,71600,PRJ-2024-001,18
PRJ-2024-001-SOV-12,Insulation,1868500,1776700,8300,1785000,95.5,83500,PRJ-2024-001,18
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,745900,3000,748900,95.4,36500,PRJ-2024-001,18
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,780600,1600,782200,95.3,38200,PRJ-2024-001,18
