project_id,note_id,date,author,note_type,content,photos_attached,weather,temp_high,temp_low
PRJ-2024-001,a2c2c84c,2024-05-24,J. Martinez,Inspection Note,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: ahead 2 days. RFIs pending: 10.",3,Rain,88,65
PRJ-2024-001,5dd990cb,2024-05-27,K. Thompson,Issue Log,Working in Zone 3 - 43% complete this zone. Remaining: final connections.,0,Hot,83,49
PRJ-2024-001,55831e9e,2024-05-29,R. Williams,Safety Log,Received delivery of copper piping - 153 units. Matched PO. Staged at laydown area A.,1,Hot,94,56
PRJ-2024-001,2ebe1dc7,2024-05-30,J. Martinez,Issue Log,"Safety meeting held at start of shift - topic: ladder safety. All PPE verified. Set 3 VAV boxes, awaiting controls.",5,Clear,92,49
PRJ-2024-001,6f6af95e,2024-05-31,K. Thompson,Inspection Note,Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Completed piping pressure test - passed.,0,Cold,71,68
PRJ-2024-001,51ccab46,2024-06-03,K. Thompson,Issue Log,Material issue encountered: wrong size fittings delivered. Resolution: Workaround implemented. Impact: schedule neutral.,4,Cold,57,54
PRJ-2024-001,d236512c,2024-06-04,J. Martinez,Coordination Note,"Safety meeting held at start of shift - topic: PPE requirements. All PPE verified. Set 3 VAV boxes, awaiting controls.",5,Rain,67,40
PRJ-2024-001,07d22b8c,2024-06-05,J. Martinez,Daily Report,Met with drywall foreman re: coordination. Resolved duct routing conflict. Action items: HVAC to relocate diffuser 6 inches east,5,Cold,86,49
PRJ-2024-001,048a9634,2024-06-07,K. Thompson,Inspection Note,"Safety meeting held at start of shift - topic: ladder safety. All PPE verified. Set 3 VAV boxes, awaiting controls.",5,Cold,70,70
PRJ-2024-001,67bccf03,2024-06-10,K. Thompson,Inspection Note,TAB contractor on site - balancing VAV system floor 2. Initial readings: CFM within 5% of design. Adjustments: damper repositioning.,1,Clear,58,55
PRJ-2024-001,c38c536f,2024-06-11,J. Martinez,Inspection Note,Met with plumbing foreman re: coordination. Resolved duct routing conflict. Action items: HVAC to relocate diffuser 6 inches east,5,Cold,92,54
PRJ-2024-001,bbcd1b48,2024-06-12,R. Williams,Coordination Note,Equipment startup for FCU bank west. Delayed - controls not ready. Punch list items: damper actuator adjustment.,2,Rain,78,61
PRJ-2024-001,ce142775,2024-06-13,M. Chen,Safety Log,Received delivery of RTU - 119 units. Short 2 boxes - claim filed. Staged at laydown area A.,3,Clear,67,69
PRJ-2024-001,0fce8655,2024-06-17,M. Chen,Safety Log,"GC weekly meeting - discussed safety incident review, upcoming inspections, manpower. Schedule status: critical - recovery plan in place. RFIs pending: 5.",3,Rain,85,36
PRJ-2024-001,9ba4af7c,2024-06-19,J. Martinez,Coordination Note,Equipment startup for RTU-1. Minor vibration issue - balancing tomorrow. Punch list items: 3 minor items.,0,Hot,98,44
PRJ-2024-001,bc72b869,2024-06-20,J. Martinez,Inspection Note,"Safety meeting held at start of shift - topic: PPE requirements. All PPE verified. Set 3 VAV boxes, awaiting controls.",0,Clear,72,69
PRJ-2024-001,b7b3edda,2024-06-26,K. Thompson,Issue Log,Safety meeting held at start of shift - topic: hot work permits. All PPE verified. Continued ductwork installation per plan.,5,Cold,96,72
PRJ-2024-001,f0582ae7,2024-06-28,R. Williams,Coordination Note,Working in floors 4-6 - 93% complete this zone. Remaining: diffusers and connections.,2,Cold,76,67
PRJ-2024-001,46a8f38a,2024-07-01,J. Martinez,Issue Log,Equipment startup for AHU-2. Minor vibration issue - balancing tomorrow. Punch list items: none.,3,Cloudy,91,73
PRJ-2024-001,e086152e,2024-07-02,M. Chen,Inspection Note,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: critical - recovery plan in place. RFIs pending: 10.",4,Clear,59,48
PRJ-2024-001,a5651bea,2024-07-03,J. Martinez,Coordination Note,TAB contractor on site - balancing FCU loop. Initial readings: CFM within 5% of design. Adjustments: sheave change AHU.,2,Rain,65,53
PRJ-2024-001,39e555ca,2024-07-05,R. Williams,Coordination Note,"GC weekly meeting - discussed schedule recovery, material lead times, inspections. Schedule status: critical - recovery plan in place. RFIs pending: 12.",5,Cloudy,74,55
PRJ-2024-001,fdc11eb4,2024-07-09,J. Martinez,Issue Log,TAB contractor on site - balancing AHU-1 supply. Initial readings: static pressure high. Adjustments: VFD reprogramming.,2,Clear,59,75
PRJ-2024-001,202d6422,2024-07-12,M. Chen,Coordination Note,"Crew arrived 0700. Weather: Partly cloudy, 65°F. 16 workers on site. Focus today: insulation west side. Behind schedule due to material delay.",2,Cloudy,73,50
PRJ-2024-001,157c573f,2024-07-16,R. Williams,Inspection Note,TAB contractor on site - balancing exhaust system. Initial readings: flow low on 3 boxes. Adjustments: sheave change AHU.,0,Cold,88,47
PRJ-2024-001,2a0a445e,2024-07-17,R. Williams,Inspection Note,TAB contractor on site - balancing VAV system floor 2. Initial readings: CFM within 5% of design. Adjustments: damper repositioning.,0,Rain,80,65
PRJ-2024-001,4e0d9c15,2024-07-19,R. Williams,Coordination Note,Installed 135 diffusers on floor 3. Rework required grid C-4. Inspections needed: none.,0,Cloudy,100,51
PRJ-2024-001,614e3103,2024-07-24,R. Williams,Safety Log,Access issue encountered: wrong size fittings delivered. Resolution: Awaiting engineer response. Impact: 1 day delay.,0,Clear,56,40
PRJ-2024-001,072edaec,2024-07-26,M. Chen,Safety Log,Working in penthouse - 59% complete this zone. Remaining: controls terminations.,1,Clear,89,39
PRJ-2024-001,fd91f0f2,2024-07-29,R. Williams,Issue Log,Received delivery of RTU - 192 units. All accounted for. Staged at laydown area A.,2,Rain,96,50
PRJ-2024-001,c71b3449,2024-08-02,J. Martinez,Daily Report,Installed 109 pipe hangers on floor 4. Minor punch items noted. Inspections needed: rough-in Friday.,5,Clear,91,52
PRJ-2024-001,2bfa706e,2024-08-07,J. Martinez,Daily Report,Installed 72 pipe hangers on floor 4. Passed QC inspection. Inspections needed: none.,4,Cold,87,71
PRJ-2024-001,30556bc6,2024-08-08,K. Thompson,Coordination Note,Equipment startup for Boiler. Delayed - controls not ready. Punch list items: sensor calibration.,3,Rain,93,72
PRJ-2024-001,aa3cfda5,2024-08-09,J. Martinez,Coordination Note,Working in penthouse - 44% complete this zone. Remaining: insulation and startup.,3,Rain,83,50
PRJ-2024-001,48d88e77,2024-08-12,K. Thompson,Daily Report,TAB contractor on site - balancing exhaust system. Initial readings: flow low on 3 boxes. Adjustments: sheave change AHU.,1,Rain,59,67
PRJ-2024-001,6c9436d2,2024-08-13,K. Thompson,Safety Log,Crew arrived 0600. Weather: Rain - indoor work only. 12 workers on site. Focus today: equipment rigging. Behind schedule due to material delay.,4,Cloudy,61,72
PRJ-2024-001,cd2bd644,2024-08-14,J. Martinez,Daily Report,Working in floors 4-6 - 60% complete this zone. Remaining: insulation and startup.,2,Hot,60,47
PRJ-2024-001,65db0f84,2024-08-15,K. Thompson,Issue Log,Installed 19 VAV boxes on floor 1. Rework required grid C-4. Inspections needed: none.,4,Clear,64,61
PRJ-2024-001,9b5a1c5b,2024-08-20,K. Thompson,Inspection Note,Installed 117 diffusers on floor 2. Rework required grid C-4. Inspections needed: pressure test Monday.,4,Cold,79,44
PRJ-2024-001,3dc34bd7,2024-08-21,R. Williams,Coordination Note,Met with fire protection foreman re: coordination. Resolved duct routing conflict. Action items: HVAC to relocate diffuser 6 inches east,1,Clear,76,67
PRJ-2024-001,3ac2026e,2024-08-26,M. Chen,Coordination Note,Received delivery of insulation - 17 units. Matched PO. Staged at mechanical room.,5,Rain,82,43
PRJ-2024-001,d62ff528,2024-08-27,J. Martinez,Safety Log,Working in floors 4-6 - 57% complete this zone. Remaining: final connections.,2,Clear,71,68
PRJ-2024-001,d6862840,2024-08-28,M. Chen,Daily Report,Installed 28 LF of duct on floor 4. Passed QC inspection. Inspections needed: none.,4,Rain,87,68
PRJ-2024-001,9ce57f78,2024-08-29,R. Williams,Issue Log,Working in basement - 66% complete this zone. Remaining: final connections.,1,Hot,72,52
PRJ-2024-001,cb04bcad,2024-08-30,R. Williams,Coordination Note,TAB contractor on site - balancing VAV system floor 2. Initial readings: all zones balanced. Adjustments: VFD reprogramming.,1,Rain,94,61
PRJ-2024-001,f5d62077,2024-09-02,K. Thompson,Inspection Note,Installed 145 diffusers on floor 1. Passed QC inspection. Inspections needed: pressure test Monday.,3,Hot,90,38
PRJ-2024-001,ea350ccc,2024-09-03,K. Thompson,Inspection Note,Working in penthouse - 57% complete this zone. Remaining: final connections.,0,Cold,82,66
PRJ-2024-001,8e7faacb,2024-09-09,K. Thompson,Daily Report,Received delivery of VAV boxes - 169 units. All accounted for. Staged at laydown area A.,1,Hot,66,61
PRJ-2024-001,4be9f514,2024-09-10,M. Chen,Coordination Note,TAB contractor on site - balancing FCU loop. Initial readings: static pressure high. Adjustments: sheave change AHU.,4,Cold,66,68
PRJ-2024-001,41e4ed35,2024-09-13,J. Martinez,Inspection Note,Installed 107 LF of duct on floor 6. Rework required grid C-4. Inspections needed: rough-in Friday.,3,Cloudy,74,42
PRJ-2024-001,557bf097,2024-09-16,R. Williams,Daily Report,Installed 41 LF of duct on floor 6. Rework required grid C-4. Inspections needed: pressure test Monday.,3,Cold,76,58
PRJ-2024-001,bcd86308,2024-09-17,J. Martinez,Coordination Note,TAB contractor on site - balancing AHU-1 supply. Initial readings: flow low on 3 boxes. Adjustments: VFD reprogramming.,0,Hot,61,51
PRJ-2024-001,dc3d31e0,2024-09-18,M. Chen,Daily Report,TAB contractor on site - balancing VAV system floor 2. Initial readings: CFM within 5% of design. Adjustments: sheave change AHU.,3,Hot,91,52
PRJ-2024-001,2ef81be5,2024-09-19,M. Chen,Safety Log,Access issue encountered: ceiling access restricted by other trade. Resolution: Resolved on site with GC. Impact: cost impact TBD.,1,Cold,89,48
PRJ-2024-001,d76664d8,2024-09-20,R. Williams,Inspection Note,Safety meeting held at start of shift - topic: PPE requirements. All PPE verified. Continued ductwork installation per plan.,2,Cold,64,59
PRJ-2024-001,ed4e7e75,2024-09-24,R. Williams,Inspection Note,Installed 139 diffusers on floor 2. Passed QC inspection. Inspections needed: pressure test Monday.,2,Rain,79,58
PRJ-2024-001,c601f482,2024-09-26,M. Chen,Safety Log,Installed 64 diffusers on floor 5. Rework required grid C-4. Inspections needed: none.,1,Clear,59,51
PRJ-2024-001,6f21567d,2024-09-27,M. Chen,Inspection Note,Met with drywall foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: HVAC to relocate diffuser 6 inches east,5,Clear,95,61
PRJ-2024-001,37a49b26,2024-09-30,K. Thompson,Issue Log,Safety meeting held at start of shift - topic: lockout/tagout. All PPE verified. Ran refrigerant lines to condensers.,5,Clear,79,51
PRJ-2024-001,8fb6d84b,2024-10-02,M. Chen,Safety Log,TAB contractor on site - balancing AHU-1 supply. Initial readings: CFM within 5% of design. Adjustments: damper repositioning.,2,Cloudy,80,35
PRJ-2024-001,195cee2f,2024-10-03,K. Thompson,Coordination Note,Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Ran refrigerant lines to condensers.,0,Clear,65,40
PRJ-2024-001,fd87199b,2024-10-04,J. Martinez,Coordination Note,"Safety meeting held at start of shift - topic: lockout/tagout. All PPE verified. Set 3 VAV boxes, awaiting controls.",0,Hot,71,69
PRJ-2024-001,83bcc2e1,2024-10-09,M. Chen,Coordination Note,TAB contractor on site - balancing AHU-1 supply. Initial readings: flow low on 3 boxes. Adjustments: VFD reprogramming.,3,Rain,76,42
PRJ-2024-001,dd9e466c,2024-10-11,M. Chen,Coordination Note,"GC weekly meeting - discussed safety incident review, upcoming inspections, manpower. Schedule status: 3 days behind. RFIs pending: 9.",2,Rain,81,56
PRJ-2024-001,8daaea4f,2024-10-14,M. Chen,Inspection Note,Working in basement - 90% complete this zone. Remaining: final connections.,4,Rain,84,37
PRJ-2024-001,84ca5a56,2024-10-16,K. Thompson,Coordination Note,TAB contractor on site - balancing VAV system floor 2. Initial readings: static pressure high. Adjustments: damper repositioning.,2,Hot,56,60
PRJ-2024-001,c9689c31,2024-10-23,J. Martinez,Coordination Note,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: ahead 2 days. RFIs pending: 3.",1,Rain,77,54
PRJ-2024-001,71aeea35,2024-10-25,M. Chen,Safety Log,"Crew arrived 0630. Weather: Partly cloudy, 65°F. 11 workers on site. Focus today: startup AHU-2. Ahead of plan.",5,Clear,71,45
PRJ-2024-001,7f097bfc,2024-10-29,R. Williams,Coordination Note,Equipment startup for RTU-1. Successful - all parameters normal. Punch list items: sensor calibration.,2,Rain,59,60
PRJ-2024-001,1a51f502,2024-10-30,M. Chen,Safety Log,Coordination conflict encountered: ceiling access restricted by other trade. Resolution: Awaiting engineer response. Impact: cost impact TBD.,1,Cold,68,60
PRJ-2024-001,d250cf39,2024-10-31,J. Martinez,Daily Report,"Crew arrived 0630. Weather: Clear, 72°F. 16 workers on site. Focus today: piping rough-in mechanical room. Ahead of plan.",4,Cloudy,90,57
PRJ-2024-001,9677ed09,2024-11-01,M. Chen,Safety Log,Met with electrical foreman re: coordination. Resolved duct routing conflict. Action items: Awaiting revised drawings,4,Hot,65,59
PRJ-2024-001,1267d67a,2024-11-04,R. Williams,Inspection Note,TAB contractor on site - balancing FCU loop. Initial readings: all zones balanced. Adjustments: sheave change AHU.,5,Rain,69,68
PRJ-2024-001,c3809366,2024-11-06,R. Williams,Issue Log,Received delivery of VAV boxes - 42 units. Short 2 boxes - claim filed. Staged at floor 3 staging.,1,Clear,69,61
PRJ-2024-001,cbdfba1f,2024-11-08,K. Thompson,Issue Log,TAB contractor on site - balancing exhaust system. Initial readings: flow low on 3 boxes. Adjustments: damper repositioning.,4,Cloudy,96,55
PRJ-2024-001,873d6659,2024-11-11,M. Chen,Issue Log,Equipment startup for AHU-2. Successful - all parameters normal. Punch list items: none.,3,Cloudy,100,55
PRJ-2024-001,5e6dfc4e,2024-11-12,K. Thompson,Safety Log,Crew arrived 0700. Weather: Rain - indoor work only. 6 workers on site. Focus today: controls wiring. Good progress.,4,Clear,69,50
PRJ-2024-001,761dcc8b,2024-11-13,J. Martinez,Safety Log,Access issue encountered: wrong size fittings delivered. Resolution: RFI submitted. Impact: 1 day delay.,1,Cloudy,75,41
PRJ-2024-001,cbdb91e7,2024-11-15,R. Williams,Issue Log,"Safety meeting held at start of shift - topic: lockout/tagout. All PPE verified. Set 3 VAV boxes, awaiting controls.",2,Clear,94,65
PRJ-2024-001,5fa38ea0,2024-11-18,R. Williams,Daily Report,Access issue encountered: wrong size fittings delivered. Resolution: Awaiting engineer response. Impact: 1 day delay.,2,Cloudy,58,55
PRJ-2024-001,7058c2a6,2024-11-19,J. Martinez,Inspection Note,Equipment startup for RTU-1. Successful - all parameters normal. Punch list items: 3 minor items.,4,Hot,100,69
PRJ-2024-001,49144c83,2024-11-21,M. Chen,Issue Log,Installed 112 diffusers on floor 6. Minor punch items noted. Inspections needed: rough-in Friday.,1,Clear,89,49
PRJ-2024-001,a6fee5d1,2024-11-22,M. Chen,Daily Report,Equipment startup for FCU bank west. Delayed - controls not ready. Punch list items: sensor calibration.,2,Cold,78,60
PRJ-2024-001,bc6bc476,2024-11-25,J. Martinez,Coordination Note,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: ahead 2 days. RFIs pending: 8.",2,Cold,85,44
PRJ-2024-001,bdb0c0a2,2024-11-26,K. Thompson,Daily Report,"Safety meeting held at start of shift - topic: fall protection. All PPE verified. Set 3 VAV boxes, awaiting controls.",0,Clear,92,40
PRJ-2024-001,c1f6e65f,2024-11-27,K. Thompson,Safety Log,Installed 122 pipe hangers on floor 6. Passed QC inspection. Inspections needed: pressure test Monday.,1,Clear,63,49
PRJ-2024-001,987c1134,2024-11-29,M. Chen,Safety Log,Installed 142 VAV boxes on floor 3. Passed QC inspection. Inspections needed: pressure test Monday.,3,Clear,75,43
PRJ-2024-001,7fba8485,2024-12-02,R. Williams,Daily Report,TAB contractor on site - balancing exhaust system. Initial readings: all zones balanced. Adjustments: sheave change AHU.,4,Cloudy,97,71
PRJ-2024-001,f6ec89ee,2024-12-03,J. Martinez,Coordination Note,Equipment startup for AHU-2. Minor vibration issue - balancing tomorrow. Punch list items: none.,0,Rain,60,49
PRJ-2024-001,219ae101,2024-12-04,M. Chen,Safety Log,Safety meeting held at start of shift - topic: fall protection. All PPE verified. Ran refrigerant lines to condensers.,1,Hot,75,65
PRJ-2024-001,e47104ce,2024-12-05,K. Thompson,Daily Report,Crew arrived 0630. Weather: Rain - indoor work only. 4 workers on site. Focus today: controls wiring. Behind schedule due to material delay.,5,Cold,57,57
PRJ-2024-001,5fa5cbcc,2024-12-06,M. Chen,Daily Report,Equipment startup for Chiller. Delayed - controls not ready. Punch list items: sensor calibration.,0,Clear,84,64
PRJ-2024-001,caf22cfa,2024-12-09,M. Chen,Inspection Note,"Safety meeting held at start of shift - topic: hot work permits. All PPE verified. Set 3 VAV boxes, awaiting controls.",2,Cloudy,69,49
PRJ-2024-001,2731ad5c,2024-12-10,J. Martinez,Inspection Note,Working in basement - 85% complete this zone. Remaining: diffusers and connections.,1,Cold,74,62
PRJ-2024-001,5599ad4b,2024-12-11,M. Chen,Safety Log,Received delivery of insulation - 106 units. Short 2 boxes - claim filed. Staged at mechanical room.,2,Hot,93,43
PRJ-2024-001,5376b42a,2024-12-12,R. Williams,Coordination Note,Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Completed piping pressure test - passed.,1,Cold,96,38
PRJ-2024-001,f3544574,2024-12-13,J. Martinez,Issue Log,TAB contractor on site - balancing AHU-1 supply. Initial readings: flow low on 3 boxes. Adjustments: VFD reprogramming.,3,Hot,63,47
PRJ-2024-001,51b5d18b,2024-12-16,J. Martinez,Safety Log,Met with fire protection foreman re: coordination. Resolved duct routing conflict. Action items: Awaiting revised drawings,1,Hot,71,42
PRJ-2024-001,b5b10a7b,2024-12-17,K. Thompson,Safety Log,Equipment startup for AHU-2. Delayed - controls not ready. Punch list items: 3 minor items.,2,Cloudy,94,61
PRJ-2024-001,a5fb5b8a,2024-12-19,R. Williams,Issue Log,Working in mechanical room - 89% complete this zone. Remaining: final connections.,0,Cloudy,56,52
PRJ-2024-001,877128d1,2024-12-24,R. Williams,Inspection Note,Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Continued ductwork installation per plan.,2,Clear,59,39
PRJ-2024-001,e6149722,2024-12-25,M. Chen,Safety Log,Met with drywall foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: HVAC to relocate diffuser 6 inches east,1,Clear,57,65
PRJ-2024-001,a8effea8,2024-12-26,J. Martinez,Safety Log,Working in basement - 79% complete this zone. Remaining: final connections.,4,Rain,77,56
PRJ-2024-001,c233036f,2024-12-27,M. Chen,Coordination Note,Crew arrived 0600. Weather: Rain - indoor work only. 5 workers on site. Focus today: ductwork installation Floor 3. Waiting on RFI response to proceed.,1,Cold,62,62
PRJ-2024-001,db1f22e7,2024-12-31,R. Williams,Coordination Note,Working in penthouse - 77% complete this zone. Remaining: final connections.,4,Clear,61,56
PRJ-2024-001,976cdb39,2025-01-02,R. Williams,Issue Log,Equipment startup for Boiler. Successful - all parameters normal. Punch list items: 3 minor items.,4,Cloudy,84,63
PRJ-2024-001,9c919a38,2025-01-03,J. Martinez,Safety Log,Met with plumbing foreman re: coordination. Scheduled joint walkthrough Friday. Action items: FP to adjust sprinkler head locations,0,Rain,77,69
PRJ-2024-001,defd544d,2025-01-07,R. Williams,Coordination Note,TAB contractor on site - balancing exhaust system. Initial readings: static pressure high. Adjustments: sheave change AHU.,3,Hot,64,63
PRJ-2024-001,acf84e22,2025-01-09,J. Martinez,Safety Log,Safety meeting held at start of shift - topic: lockout/tagout. All PPE verified. Ran refrigerant lines to condensers.,5,Cold,93,75
PRJ-2024-001,5f530634,2025-01-10,R. Williams,Inspection Note,TAB contractor on site - balancing FCU loop. Initial readings: flow low on 3 boxes. Adjustments: none required.,5,Rain,74,52
PRJ-2024-001,59c5b1bf,2025-01-13,R. Williams,Inspection Note,"Crew arrived 0630. Weather: Hot, 95°F - heat protocol. 13 workers on site. Focus today: hanging VAV boxes wing B. Inspection passed.",5,Cold,59,59
PRJ-2024-001,45f0f9cb,2025-01-14,K. Thompson,Issue Log,"GC weekly meeting - discussed schedule recovery, material lead times, inspections. Schedule status: 3 days behind. RFIs pending: 7.",2,Clear,66,49
PRJ-2024-001,c0d03ed2,2025-01-15,R. Williams,Coordination Note,Received delivery of VAV boxes - 187 units. All accounted for. Staged at loading dock.,5,Hot,57,44
PRJ-2024-001,a02818a4,2025-01-16,J. Martinez,Coordination Note,Equipment startup for AHU-2. Minor vibration issue - balancing tomorrow. Punch list items: none.,3,Rain,73,61
PRJ-2024-001,a1bbca6e,2025-01-17,J. Martinez,Issue Log,Installed 95 pipe hangers on floor 4. Rework required grid C-4. Inspections needed: none.,1,Cloudy,80,71
PRJ-2024-001,fd820087,2025-01-20,M. Chen,Inspection Note,Received delivery of sheet metal - 154 units. Short 2 boxes - claim filed. Staged at loading dock.,4,Hot,65,42
PRJ-2024-001,7eda54a9,2025-01-21,R. Williams,Inspection Note,Safety meeting held at start of shift - topic: PPE requirements. All PPE verified. Continued ductwork installation per plan.,5,Cold,89,63
PRJ-2024-001,14d94f4d,2025-01-27,M. Chen,Safety Log,Met with fire protection foreman re: coordination. Resolved duct routing conflict. Action items: Awaiting revised drawings,3,Cold,84,51
PRJ-2024-001,642f3389,2025-01-28,R. Williams,Safety Log,Working in basement - 56% complete this zone. Remaining: diffusers and connections.,3,Clear,96,68
PRJ-2024-001,5cbaefba,2025-01-30,J. Martinez,Daily Report,Equipment startup for Chiller. Successful - all parameters normal. Punch list items: damper actuator adjustment.,3,Clear,99,67
PRJ-2024-001,f1caab7b,2025-02-03,J. Martinez,Inspection Note,Coordination conflict encountered: field conditions don't match drawings. Resolution: RFI submitted. Impact: none.,4,Rain,56,46
PRJ-2024-001,cf67ac39,2025-02-04,R. Williams,Safety Log,Crew arrived 0600. Weather: Rain - indoor work only. 14 workers on site. Focus today: insulation west side. Waiting on RFI response to proceed.,3,Cold,71,45
PRJ-2024-001,a4929852,2025-02-05,R. Williams,Issue Log,Safety meeting held at start of shift - topic: PPE requirements. All PPE verified. Ran refrigerant lines to condensers.,2,Cold,80,68
PRJ-2024-001,c1a81ba8,2025-02-06,J. Martinez,Daily Report,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: ahead 2 days. RFIs pending: 9.",5,Clear,99,68
