project_id,rfi_number,date_submitted,subject,submitted_by,assigned_to,priority,status,date_required,date_responded,response_summary,cost_impact,schedule_impact
PRJ-2024-001,RFI-066,2024-09-25,Refrigerant piping routing through elevator shaft - approval needed,R. Williams - Engineer,Structural Engineer,Low,Closed,2024-10-08,2024-09-30,Coordinate with plumbing contractor.,True,True
PRJ-2024-001,RFI-067,2024-10-12,Refrigerant piping routing through elevator shaft - approval needed,J. Martinez - Project Manager,Owner,High,Closed,2024-10-27,2024-10-19,Approved as submitted.,False,False
PRJ-2024-001,RFI-081,2024-10-23,Clarification needed on diffuser layout for Room 545,J. Martinez - Project Manager,MEP Engineer,Medium,Closed,2024-11-07,2024-10-30,Approved as submitted.,False,False
PRJ-2024-001,RFI-082,2024-10-24,Insulation spec clarification for exterior application,J. Martinez - Project Manager,MEP Engineer,Medium,Closed,2024-11-12,2024-10-29,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-064,2024-10-28,Clarification needed on diffuser layout for Room 111,R. Williams - Engineer,MEP Engineer,High,Closed,2024-11-16,2024-11-07,Approved as submitted.,False,False
PRJ-2024-001,RFI-035,2024-11-10,Clarification needed on diffuser layout for Room 257,K. Thompson - Foreman,Architect,Low,Closed,2024-11-25,2024-11-13,Approved as submitted.,False,False
PRJ-2024-001,RFI-029,2024-11-11,Clarification needed on diffuser layout for Room 133,R. Williams - Engineer,Owner,Low,Closed,2024-12-01,2024-11-18,Coordinate with electrical contractor.,False,False
PRJ-2024-001,RFI-069,2024-11-16,VAV box sizing appears undersized for zone CFM,R. Williams - Engineer,Structural Engineer,Low,Closed,2024-11-23,2024-11-23,Revise per attached markup.,False,True
PRJ-2024-001,RFI-076,2024-11-19,"Pipe sleeve size discrepancy at Floor 4, Grid B-7",J. Martinez - Project Manager,Structural Engineer,Low,Closed,2024-12-06,2024-11-24,Approved as submitted.,True,True
PRJ-2024-001,RFI-027,2024-11-21,Clarification needed on diffuser layout for Room 357,R. Williams - Engineer,Architect,Low,Closed,2024-12-11,2024-12-01,Approved as submitted.,False,True
PRJ-2024-001,RFI-005,2024-11-22,Coordination conflict with electrical conduit at grid G-5,K. Thompson - Foreman,Owner,Medium,Closed,2024-12-02,2024-11-25,Coordinate with plumbing contractor.,True,False
PRJ-2024-001,RFI-039,2024-11-28,"Ductwork routing conflicts with beam at elevation +45'-0""",J. Martinez - Project Manager,Owner,High,Closed,2024-12-05,2024-12-03,Approved as submitted.,False,False
PRJ-2024-001,RFI-061,2024-12-04,Fire damper location verification needed,R. Williams - Engineer,Owner,Medium,Closed,2024-12-20,2024-12-09,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-072,2025-01-02,Coordination conflict with electrical conduit at grid D-6,R. Williams - Engineer,Architect,Medium,Closed,2025-01-17,2025-01-16,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-028,2025-01-22,Seismic bracing requirements for equipment over 500 lbs,R. Williams - Engineer,Architect,Critical,Closed,2025-02-12,2025-02-05,Coordinate with structural contractor.,True,False
PRJ-2024-001,RFI-007,2025-01-29,Thermostat location conflicts with furniture layout,J. Martinez - Project Manager,Owner,Medium,Closed,2025-02-17,2025-02-01,Refer to ASI-12 for clarification.,False,False
PRJ-2024-001,RFI-085,2025-01-29,"Pipe sleeve size discrepancy at Floor 6, Grid C-9",R. Williams - Engineer,MEP Engineer,Low,Closed,2025-02-08,2025-02-05,Coordinate with plumbing contractor.,True,False
PRJ-2024-001,RFI-021,2025-02-10,Coordination conflict with electrical conduit at grid F-8,J. Martinez - Project Manager,Owner,Low,Open,2025-02-28,,,False,False
PRJ-2024-001,RFI-046,2025-02-15,Access panel requirements for concealed valves,K. Thompson - Foreman,MEP Engineer,Medium,Closed,2025-02-23,2025-03-01,Approved as submitted.,False,False
PRJ-2024-001,RFI-010,2025-02-26,Coordination conflict with electrical conduit at grid E-10,J. Martinez - Project Manager,MEP Engineer,High,Closed,2025-03-14,2025-03-12,Proceed as noted in attached sketch.,False,True
PRJ-2024-001,RFI-050,2025-02-28,"Structural penetration approval required at Floor 5, Grid F-5",K. Thompson - Foreman,Owner,Low,Closed,2025-03-10,2025-03-05,Coordinate with structural contractor.,False,False
PRJ-2024-001,RFI-016,2025-03-11,Control sequence clarification for HW Loop,J. Martinez - Project Manager,Owner,Medium,Closed,2025-03-23,2025-03-21,Coordinate with plumbing contractor.,False,False
PRJ-2024-001,RFI-013,2025-03-13,Thermostat location conflicts with furniture layout,R. Williams - Engineer,Structural Engineer,Medium,Closed,2025-03-27,2025-03-23,Coordinate with structural contractor.,False,False
PRJ-2024-001,RFI-047,2025-03-18,"Existing conditions differ from drawings at Floor 4, Grid H-7",J. Martinez - Project Manager,Architect,Medium,Closed,2025-04-07,2025-03-23,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-048,2025-03-27,Refrigerant piping routing through ceiling plenum - approval needed,R. Williams - Engineer,MEP Engineer,Medium,Closed,2025-04-07,2025-03-30,Refer to ASI-16 for clarification.,True,False
PRJ-2024-001,RFI-001,2025-04-13,Equipment access clearance insufficient per spec,K. Thompson - Foreman,Architect,Low,Closed,2025-04-28,2025-04-20,Refer to ASI-5 for clarification.,False,False
PRJ-2024-001,RFI-049,2025-04-14,Refrigerant piping routing through exterior wall - approval needed,J. Martinez - Project Manager,Structural Engineer,High,Closed,2025-04-30,2025-04-19,Coordinate with structural contractor.,False,False
PRJ-2024-001,RFI-059,2025-04-14,Seismic bracing requirements for equipment over 1000 lbs,K. Thompson - Foreman,Architect,Medium,Closed,2025-05-03,2025-04-19,Approved as submitted.,False,False
PRJ-2024-001,RFI-079,2025-04-15,Coordination conflict with electrical conduit at grid E-7,K. Thompson - Foreman,Architect,High,Closed,2025-04-22,2025-04-22,Revise per attached markup.,False,False
PRJ-2024-001,RFI-025,2025-04-30,"Existing conditions differ from drawings at Floor 4, Grid H-5",J. Martinez - Project Manager,Architect,Medium,Closed,2025-05-09,2025-05-10,Proceed as noted in attached sketch.,False,True
PRJ-2024-001,RFI-056,2025-05-01,Coordination conflict with electrical conduit at grid B-11,K. Thompson - Foreman,MEP Engineer,Medium,Closed,2025-05-09,2025-05-04,Refer to ASI-7 for clarification.,False,False
PRJ-2024-001,RFI-088,2025-05-01,Coordination conflict with electrical conduit at grid G-6,J. Martinez - Project Manager,Architect,Medium,Closed,2025-05-10,2025-05-04,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-057,2025-05-02,Clarification needed on diffuser layout for Room 224,K. Thompson - Foreman,MEP Engineer,Medium,Open,2025-05-13,,,False,False
PRJ-2024-001,RFI-006,2025-05-26,Refrigerant piping routing through mechanical room - approval needed,K. Thompson - Foreman,Architect,Medium,Closed,2025-06-07,2025-06-16,Coordinate with structural contractor.,False,False
PRJ-2024-001,RFI-055,2025-05-26,Equipment access clearance insufficient per spec,K. Thompson - Foreman,MEP Engineer,High,Closed,2025-06-11,2025-06-02,Refer to ASI-5 for clarification.,True,False
PRJ-2024-001,RFI-019,2025-06-05,Coordination conflict with electrical conduit at grid F-12,K. Thompson - Foreman,Architect,Medium,Closed,2025-06-18,2025-06-08,Revise per attached markup.,False,False
PRJ-2024-001,RFI-033,2025-06-07,"Existing conditions differ from drawings at Floor 3, Grid H-1",J. Martinez - Project Manager,MEP Engineer,High,Closed,2025-06-24,2025-06-21,Approved as submitted.,False,False
PRJ-2024-001,RFI-071,2025-06-11,Access panel requirements for concealed valves,K. Thompson - Foreman,MEP Engineer,Low,Closed,2025-07-01,2025-06-25,Coordinate with plumbing contractor.,False,False
PRJ-2024-001,RFI-008,2025-06-14,Insulation spec clarification for exterior application,R. Williams - Engineer,Structural Engineer,Medium,Closed,2025-07-03,2025-06-17,Revise per attached markup.,True,False
PRJ-2024-001,RFI-018,2025-06-20,"Existing conditions differ from drawings at Floor 4, Grid A-12",K. Thompson - Foreman,MEP Engineer,Low,Closed,2025-07-06,2025-06-23,Refer to ASI-10 for clarification.,False,False
PRJ-2024-001,RFI-037,2025-06-21,Thermostat location conflicts with furniture layout,J. Martinez - Project Manager,Structural Engineer,Medium,Open,2025-07-05,,,False,False
PRJ-2024-001,RFI-023,2025-07-04,Seismic bracing requirements for equipment over 500 lbs,R. Williams - Engineer,Owner,High,Closed,2025-07-25,2025-07-14,Refer to ASI-17 for clarification.,False,True
PRJ-2024-001,RFI-030,2025-07-07,Fire damper location verification needed,K. Thompson - Foreman,Architect,Low,Closed,2025-07-28,2025-07-14,Approved as submitted.,True,False
PRJ-2024-001,RFI-058,2025-07-07,Coordination conflict with electrical conduit at grid C-5,J. Martinez - Project Manager,Structural Engineer,Medium,Closed,2025-07-26,2025-07-14,Revise per attached markup.,False,False
PRJ-2024-001,RFI-009,2025-07-12,Insulation spec clarification for exterior application,R. Williams - Engineer,Structural Engineer,High,Closed,2025-07-28,2025-07-17,Coordinate with plumbing contractor.,False,True
PRJ-2024-001,RFI-042,2025-07-14,Refrigerant piping routing through ceiling plenum - approval needed,J. Martinez - Project Manager,MEP Engineer,Medium,Closed,2025-08-03,2025-07-19,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-002,2025-07-25,Thermostat location conflicts with furniture layout,R. Williams - Engineer,Structural Engineer,High,Closed,2025-08-01,2025-07-30,Refer to ASI-5 for clarification.,True,False
PRJ-2024-001,RFI-084,2025-07-29,Coordination conflict with electrical conduit at grid C-9,K. Thompson - Foreman,MEP Engineer,Medium,Closed,2025-08-14,2025-08-05,Coordinate with electrical contractor.,True,False
PRJ-2024-001,RFI-086,2025-07-29,"Existing conditions differ from drawings at Floor 1, Grid D-11",R. Williams - Engineer,Owner,Medium,Closed,2025-08-05,2025-08-05,Coordinate with plumbing contractor.,False,False
PRJ-2024-001,RFI-040,2025-08-05,"Pipe sleeve size discrepancy at Floor 3, Grid F-9",R. Williams - Engineer,Architect,Medium,Closed,2025-08-19,2025-08-15,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-020,2025-08-21,"Ductwork routing conflicts with beam at elevation +33'-0""",J. Martinez - Project Manager,Structural Engineer,Medium,Closed,2025-08-28,2025-08-24,Approved as submitted.,False,False
PRJ-2024-001,RFI-087,2025-08-27,Insulation spec clarification for exterior application,K. Thompson - Foreman,Architect,High,Closed,2025-09-08,2025-09-06,Coordinate with structural contractor.,False,True
PRJ-2024-001,RFI-024,2025-09-04,Refrigerant piping routing through mechanical room - approval needed,K. Thompson - Foreman,MEP Engineer,Medium,Closed,2025-09-23,2025-09-11,Revise per attached markup.,True,False
PRJ-2024-002,RFI-075,2024-02-22,Coordination conflict with electrical conduit at grid H-9,J. Martinez - Project Manager,Owner,High,Closed,2024-03-07,2024-03-14,Refer to ASI-13 for clarification.,True,True
PRJ-2024-002,RFI-011,2024-02-23,Fire damper location verification needed,R. Williams - Engineer,Structural Engineer,Medium,Closed,2024-03-12,2024-03-01,Approved as submitted.,False,False
PRJ-2024-002,RFI-078,2024-02-26,Clarification needed on diffuser layout for Room 323,J. Martinez - Project Manager,Owner,Low,Closed,2024-03-17,2024-03-07,Approved as submitted.,False,False
PRJ-2024-002,RFI-010,2024-02-27,Clarification needed on diffuser layout for Room 285,R. Williams - Engineer,Structural Engineer,Medium,Closed,2024-03-07,2024-03-12,Revise per attached markup.,False,False
PRJ-2024-002,RFI-026,2024-03-21,Seismic bracing requirements for equipment over 2000 lbs,J. Martinez - Project Manager,Structural Engineer,Medium,Closed,2024-04-04,2024-03-26,Proceed as noted in attached sketch.,False,False
PRJ-2024-002,RFI-076,2024-04-08,"Ductwork routing conflicts with beam at elevation +18'-0""",R. Williams - Engineer,MEP Engineer,Low,Closed,2024-04-16,2024-04-15,Refer to ASI-9 for clarification.,False,True
PRJ-2024-002,RFI-040,2024-04-13,Control sequence clarification for VAV Zone 3,K. Thompson - Foreman,Architect,High,Closed,2024-04-23,2024-04-27,Approved as submitted.,False,False
PRJ-2024-002,RFI-020,2024-04-21,Thermostat location conflicts with furniture layout,J. Martinez - Project Manager,MEP Engineer,Critical,Closed,2024-05-05,2024-05-05,Coordinate with electrical contractor.,False,False
PRJ-2024-002,RFI-023,2024-04-23,Seismic bracing requirements for equipment over 1000 lbs,J. Martinez - Project Manager,MEP Engineer,High,Closed,2024-05-11,2024-05-07,Approved as submitted.,True,False
PRJ-2024-002,RFI-047,2024-04-23,Insulation spec clarification for exterior application,K. Thompson - Foreman,Owner,Medium,Closed,2024-05-02,2024-05-03,Revise per attached markup.,True,True
PRJ-2024-002,RFI-024,2024-04-28,Fire damper location verification needed,R. Williams - Engineer,Structural Engineer,Medium,Closed,2024-05-10,2024-05-12,Proceed as noted in attached sketch.,True,False
PRJ-2024-002,RFI-030,2024-05-09,Clarification needed on diffuser layout for Room 420,R. Williams - Engineer,MEP Engineer,Medium,Closed,2024-05-19,2024-05-14,Proceed as noted in attached sketch.,False,False
PRJ-2024-002,RFI-013,2024-05-25,Fire damper location verification needed,R. Williams - Engineer,Owner,High,Closed,2024-06-02,2024-06-01,Coordinate with plumbing contractor.,False,True
PRJ-2024-002,RFI-004,2024-05-27,Fire damper location verification needed,K. Thompson - Foreman,Structural Engineer,High,Closed,2024-06-07,2024-06-03,Coordinate with plumbing contractor.,False,False
PRJ-2024-002,RFI-017,2024-06-05,Coordination conflict with electrical conduit at grid F-12,R. Williams - Engineer,Architect,Medium,Closed,2024-06-13,2024-06-08,Proceed as noted in attached sketch.,False,False
PRJ-2024-002,RFI-039,2024-06-09,"Pipe sleeve size discrepancy at Floor 17, Grid B-9",J. Martinez - Project Manager,Owner,Low,Closed,2024-06-27,2024-06-16,Refer to ASI-15 for clarification.,False,False
PRJ-2024-002,RFI-050,2024-06-09,"Pipe sleeve size discrepancy at Floor 6, Grid D-10",K. Thompson - Foreman,Architect,Critical,Closed,2024-06-20,2024-06-16,Approved as submitted.,False,False
PRJ-2024-002,RFI-038,2024-06-18,Clarification needed on diffuser layout for Room 548,K. Thompson - Foreman,Owner,Low,Closed,2024-07-04,2024-06-25,Refer to ASI-2 for clarification.,False,False
PRJ-2024-002,RFI-034,2024-06-23,Fire damper location verification needed,J. Martinez - Project Manager,Architect,Medium,Closed,2024-07-07,2024-07-07,Approved as submitted.,False,True
PRJ-2024-002,RFI-069,2024-06-27,Fire damper location verification needed,K. Thompson - Foreman,Structural Engineer,Low,Closed,2024-07-13,2024-07-04,Approved as submitted.,False,False
PRJ-2024-002,RFI-007,2024-07-03,Access panel requirements for concealed valves,K. Thompson - Foreman,Structural Engineer,Low,Closed,2024-07-13,2024-07-10,Coordinate with plumbing contractor.,False,False
PRJ-2024-002,RFI-057,2024-07-04,Equipment access clearance insufficient per spec,R. Williams - Engineer,Architect,Low,Closed,2024-07-18,2024-07-14,Refer to ASI-9 for clarification.,False,False
PRJ-2024-002,RFI-031,2024-07-10,Fire damper location verification needed,K. Thompson - Foreman,Owner,High,Closed,2024-07-27,2024-07-24,Approved as submitted.,True,False
PRJ-2024-002,RFI-063,2024-07-10,Insulation spec clarification for exterior application,K. Thompson - Foreman,MEP Engineer,Medium,Closed,2024-07-27,2024-07-20,Revise per attached markup.,False,False
PRJ-2024-002,RFI-036,2024-07-12,Refrigerant piping routing through elevator shaft - approval needed,K. Thompson - Foreman,Structural Engineer,High,Closed,2024-07-26,2024-07-15,Revise per attached markup.,True,False
PRJ-2024-002,RFI-002,2024-07-18,"Structural penetration approval required at Floor 8, Grid C-12",J. Martinez - Project Manager,Owner,Low,Closed,2024-08-08,2024-07-23,Approved as submitted.,True,False
PRJ-2024-002,RFI-059,2024-07-27,"Ductwork routing conflicts with beam at elevation +29'-0""",K. Thompson - Foreman,Architect,High,Closed,2024-08-17,2024-08-17,Refer to ASI-7 for clarification.,False,False
PRJ-2024-002,RFI-053,2024-08-22,Thermostat location conflicts with furniture layout,K. Thompson - Foreman,Owner,Medium,Closed,2024-09-09,2024-08-27,Proceed as noted in attached sketch.,False,False
PRJ-2024-002,RFI-001,2024-08-26,Equipment access clearance insufficient per spec,R. Williams - Engineer,Owner,Medium,Closed,2024-09-13,2024-09-05,Coordinate with electrical contractor.,True,False
PRJ-2024-002,RFI-014,2024-09-05,Coordination conflict with electrical conduit at grid D-3,R. Williams - Engineer,Owner,Medium,Closed,2024-09-21,2024-09-19,Revise per attached markup.,True,False
PRJ-2024-002,RFI-054,2024-09-23,"Ductwork routing conflicts with beam at elevation +35'-0""",R. Williams - Engineer,Owner,Low,Closed,2024-10-08,2024-09-30,Coordinate with electrical contractor.,False,False
PRJ-2024-002,RFI-048,2024-09-24,Coordination conflict with electrical conduit at grid D-4,R. Williams - Engineer,MEP Engineer,Medium,Closed,2024-10-08,2024-10-15,Revise per attached markup.,False,False
PRJ-2024-002,RFI-067,2024-10-07,Fire damper location verification needed,J. Martinez - Project Manager,Owner,Low,Open,2024-10-23,,,False,False
PRJ-2024-002,RFI-079,2024-10-20,Insulation spec clarification for exterior application,J. Martinez - Project Manager,Structural Engineer,High,Closed,2024-11-04,2024-10-27,Refer to ASI-17 for clarification.,False,False
PRJ-2024-002,RFI-045,2024-11-09,Thermostat location conflicts with furniture layout,R. Williams - Engineer,Architect,Medium,Closed,2024-11-19,2024-11-16,Coordinate with plumbing contractor.,False,False
PRJ-2024-002,RFI-073,2024-11-16,Equipment access clearance insufficient per spec,J. Martinez - Project Manager,Architect,Medium,Closed,2024-12-07,2024-11-23,Coordinate with electrical contractor.,False,False
PRJ-2024-002,RFI-033,2024-11-17,"Pipe sleeve size discrepancy at Floor 5, Grid D-8",R. Williams - Engineer,Architect,Medium,Closed,2024-11-27,2024-12-01,Proceed as noted in attached sketch.,False,False
PRJ-2024-002,RFI-041,2024-11-24,Access panel requirements for concealed valves,K. Thompson - Foreman,Structural Engineer,High,Closed,2024-12-07,2024-11-27,Revise per attached markup.,True,False
PRJ-2024-002,RFI-009,2024-12-04,Control sequence clarification for HW Loop,J. Martinez - Project Manager,Structural Engineer,Medium,Open,2024-12-23,,,False,False
PRJ-2024-002,RFI-049,2024-12-09,Clarification needed on diffuser layout for Room 238,R. Williams - Engineer,Owner,Low,Closed,2024-12-17,2024-12-14,Proceed as noted in attached sketch.,False,False
PRJ-2024-002,RFI-003,2024-12-17,Control sequence clarification for AHU-1,J. Martinez - Project Manager,Structural Engineer,Medium,Closed,2024-12-25,2024-12-24,Proceed as noted in attached sketch.,True,False
PRJ-2024-002,RFI-071,2024-12-29,"Existing conditions differ from drawings at Floor 3, Grid G-5",J. Martinez - Project Manager,MEP Engineer,Medium,Closed,2025-01-17,2025-01-12,Revise per attached markup.,False,False
PRJ-2024-002,RFI-060,2025-01-20,Seismic bracing requirements for equipment over 500 lbs,R. Williams - Engineer,Architect,High,Closed,2025-02-04,2025-01-25,Coordinate with structural contractor.,False,False
PRJ-2024-002,RFI-066,2025-01-25,"Ductwork routing conflicts with beam at elevation +14'-0""",R. Williams - Engineer,MEP Engineer,Low,Closed,2025-02-11,2025-02-04,Proceed as noted in attached sketch.,True,False
PRJ-2024-002,RFI-080,2025-01-26,"Structural penetration approval required at Floor 5, Grid C-4",K. Thompson - Foreman,Architect,Low,Closed,2025-02-06,2025-02-02,Refer to ASI-9 for clarification.,True,False
PRJ-2024-002,RFI-035,2025-02-03,Control sequence clarification for AHU-1,R. Williams - Engineer,MEP Engineer,High,Closed,2025-02-12,2025-02-24,Refer to ASI-14 for clarification.,True,True
PRJ-2024-002,RFI-016,2025-02-05,Access panel requirements for concealed valves,J. Martinez - Project Manager,MEP Engineer,Medium,Closed,2025-02-20,2025-02-08,Refer to ASI-7 for clarification.,False,False
PRJ-2024-002,RFI-065,2025-02-13,Thermostat location conflicts with furniture layout,J. Martinez - Project Manager,Structural Engineer,Medium,Closed,2025-03-04,2025-02-20,Proceed as noted in attached sketch.,True,False
PRJ-2024-002,RFI-056,2025-02-25,"Ductwork routing conflicts with beam at elevation +15'-0""",J. Martinez - Project Manager,Architect,High,Closed,2025-03-15,2025-03-02,Refer to ASI-12 for clarification.,False,False
PRJ-2024-002,RFI-022,2025-03-01,Clarification needed on diffuser layout for Room 460,R. Williams - Engineer,Structural Engineer,Medium,Closed,2025-03-20,2025-03-04,Refer to ASI-10 for clarification.,False,False
PRJ-2024-002,RFI-025,2025-03-03,Seismic bracing requirements for equipment over 500 lbs,K. Thompson - Foreman,Architect,Low,Closed,2025-03-22,2025-03-08,Proceed as noted in attached sketch.,False,False
PRJ-2024-002,RFI-006,2025-03-09,Control sequence clarification for CHW Loop,R. Williams - Engineer,Architect,High,Closed,2025-03-21,2025-03-30,Refer to ASI-17 for clarification.,False,True
PRJ-2024-002,RFI-081,2025-03-13,"Existing conditions differ from drawings at Floor 14, Grid A-12",J. Martinez - Project Manager,Owner,Medium,Closed,2025-03-24,2025-03-27,Proceed as noted in attached sketch.,False,False
