project_id,co_number,date_submitted,reason_category,description,amount,status,related_rfi,affected_sov_lines,labor_hours_impact,schedule_impact_days,submitted_by,approved_by
PRJ-2024-004,CO-003,2024-08-10,Code Compliance,Inspector required additional smoke detectors,330800,Rejected,RFI-030,"['PRJ-2024-004-SOV-15', 'PRJ-2024-004-SOV-10', 'PRJ-2024-004-SOV-09']",51,0,R. Williams,
PRJ-2024-004,CO-009,2024-08-10,Coordination,Rerouting required due to structural conflict,296500,Approved,RFI-026,"['PRJ-2024-004-SOV-04', 'PRJ-2024-004-SOV-01']",63,0,K. Thompson,
PRJ-2024-004,CO-006,2024-08-13,Owner Request,Added controls points per owner directive,458900,Rejected,,['PRJ-2024-004-SOV-13'],128,0,J. Martinez,Owner Rep
PRJ-2024-004,CO-012,2024-09-16,Design Error,Drawings showed incorrect pipe elevation - field correction required,57100,Rejected,,"['PRJ-2024-004-SOV-12', 'PRJ-2024-004-SOV-15']",183,0,K. Thompson,Owner Rep
PRJ-2024-004,CO-011,2024-10-30,Code Compliance,Inspector required additional smoke detectors,379700,Approved,,"['PRJ-2024-004-SOV-05', 'PRJ-2024-004-SOV-13', 'PRJ-2024-004-SOV-12']",75,14,K. Thompson,Project Manager
PRJ-2024-004,CO-010,2024-11-09,Scope Gap,Work not clearly defined in bid documents,528600,Approved,RFI-003,"['PRJ-2024-004-SOV-01', 'PRJ-2024-004-SOV-03', 'PRJ-2024-004-SOV-02']",90,0,R. Williams,Project Manager
PRJ-2024-005,CO-004,2024-05-01,Value Engineering,Substitution approved: copper piping to Daikin RTU,-103000,Approved,,"['PRJ-2024-005-SOV-08', 'PRJ-2024-005-SOV-05', 'PRJ-2024-005-SOV-12']",-81,0,K. Thompson,
PRJ-2024-005,CO-009,2024-06-12,Owner Request,Added exhaust fan per owner directive,136600,Approved,,"['PRJ-2024-005-SOV-13', 'PRJ-2024-005-SOV-11', 'PRJ-2024-005-SOV-05']",50,5,R. Williams,
PRJ-2024-005,CO-003,2024-07-13,Value Engineering,Substitution approved: Carrier RTU to steel piping,-91300,Approved,RFI-003,['PRJ-2024-005-SOV-02'],-94,0,J. Martinez,Owner Rep
PRJ-2024-005,CO-010,2024-07-14,Owner Request,Added exhaust fan per owner directive,322800,Approved,RFI-027,['PRJ-2024-005-SOV-07'],97,14,J. Martinez,
PRJ-2024-005,CO-002,2024-08-25,Unforeseen Condition,Discovered asbestos insulation not shown on documents,41400,Approved,RFI-002,['PRJ-2024-005-SOV-11'],56,14,R. Williams,
PRJ-2024-005,CO-011,2024-12-13,Design Error,Drawings showed incorrect duct size - field correction required,152600,Rejected,,"['PRJ-2024-005-SOV-10', 'PRJ-2024-005-SOV-03', 'PRJ-2024-005-SOV-12']",146,14,K. Thompson,
PRJ-2024-005,CO-006,2025-02-11,Owner Request,Added chilled water piping per owner directive,488100,Rejected,,"['PRJ-2024-005-SOV-14', 'PRJ-2024-005-SOV-10', 'PRJ-2024-005-SOV-02']",71,2,K. Thompson,Owner Rep
PRJ-2024-005,CO-008,2025-02-18,Scope Gap,Work not clearly defined in bid documents,266100,Rejected,RFI-022,"['PRJ-2024-005-SOV-08', 'PRJ-2024-005-SOV-15']",44,14,R. Williams,Project Manager
PRJ-2024-005,CO-005,2025-05-25,Design Error,Drawings showed incorrect equipment clearance - field correction required,210600,Approved,,"['PRJ-2024-005-SOV-08', 'PRJ-2024-005-SOV-09']",103,5,R. Williams,Owner Rep
PRJ-2024-005,CO-001,2025-08-01,Owner Request,Added exhaust fan per owner directive,516600,Approved,,"['PRJ-2024-005-SOV-02', 'PRJ-2024-005-SOV-06']",181,0,J. Martinez,
PRJ-2024-005,CO-012,2025-08-28,Coordination,Rerouting required due to plumbing conflict,310300,Approved,,"['PRJ-2024-005-SOV-14', 'PRJ-2024-005-SOV-09', 'PRJ-2024-005-SOV-15']",19,7,J. Martinez,Project Manager
PRJ-2024-005,CO-007,2025-09-26,Design Error,Drawings showed incorrect pipe elevation - field correction required,226700,Approved,RFI-027,['PRJ-2024-005-SOV-15'],138,0,J. Martinez,Owner Rep
