project_id,log_id,date,employee_id,role,sov_line_id,hours_st,hours_ot,hourly_rate,burden_multiplier,work_area,cost_code
PRJ-2024-001,0cc26e7a,2024-04-22,EMP-1090,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 1,2
PRJ-2024-001,b73fe0a4,2024-04-23,EMP-2988,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,0,52.0,1.38,Floor 4,1
PRJ-2024-001,7eb2a454,2024-04-23,EMP-6198,Journeyman Sheet Metal,PRJ-2024-001-SOV-01,8,0,72.0,1.42,Floor 4,1
PRJ-2024-001,9dd2bbee,2024-04-23,EMP-3607,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 6,2
PRJ-2024-001,0148de13,2024-04-23,EMP-5543,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 5,2
PRJ-2024-001,d8f3ea3e,2024-04-23,EMP-2269,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 6,2
PRJ-2024-001,95289db1,2024-04-24,EMP-7275,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,2,52.0,1.38,Floor 6,1
PRJ-2024-001,84911699,2024-04-24,EMP-6421,Journeyman Pipefitter,PRJ-2024-001-SOV-01,6,0,74.5,1.42,Floor 5,1
PRJ-2024-001,f6e716a1,2024-04-24,EMP-7883,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 4,2
PRJ-2024-001,eebb5f4c,2024-04-24,EMP-7232,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 4,1
PRJ-2024-001,ab9e192e,2024-04-25,EMP-7865,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 5,2
PRJ-2024-001,5b6a1544,2024-04-25,EMP-8956,Journeyman Pipefitter,PRJ-2024-001-SOV-01,8,0,74.5,1.42,Floor 1,1
PRJ-2024-001,f21936a1,2024-04-26,EMP-9751,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 1,2
PRJ-2024-001,bec4796f,2024-04-26,EMP-2375,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 6,2
PRJ-2024-001,01cd26e5,2024-04-26,EMP-3977,Insulator,PRJ-2024-001-SOV-02,8,4,58.0,1.4,Floor 1,2
PRJ-2024-001,fe173339,2024-04-26,EMP-6355,Apprentice 4th Year,PRJ-2024-001-SOV-02,8,0,52.0,1.38,Floor 3,2
PRJ-2024-001,e1661fed,2024-04-26,EMP-7906,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 3,2
PRJ-2024-001,2923b79f,2024-04-29,EMP-2124,Helper/Laborer,PRJ-2024-001-SOV-01,8,0,32.0,1.35,Floor 6,1
PRJ-2024-001,ef5e4ed2,2024-04-29,EMP-4266,Foreman,PRJ-2024-001-SOV-01,8,0,85.5,1.42,Floor 1,1
PRJ-2024-001,8f1303fd,2024-04-30,EMP-5198,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,0,52.0,1.38,Floor 3,1
PRJ-2024-001,91db00ff,2024-04-30,EMP-2876,Journeyman Sheet Metal,PRJ-2024-001-SOV-01,8,0,72.0,1.42,Floor 2,1
PRJ-2024-001,85f7c103,2024-04-30,EMP-6111,Helper/Laborer,PRJ-2024-001-SOV-02,8,2,32.0,1.35,Floor 5,2
PRJ-2024-001,31c77527,2024-05-01,EMP-2983,Insulator,PRJ-2024-001-SOV-01,8,0,58.0,1.4,Floor 5,1
PRJ-2024-001,2ec7d062,2024-05-01,EMP-7071,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 1,1
PRJ-2024-001,faef91cb,2024-05-01,EMP-9031,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,4,72.0,1.42,Floor 1,2
PRJ-2024-001,1ee7f787,2024-05-01,EMP-8532,Foreman,PRJ-2024-001-SOV-02,8,0,85.5,1.42,Floor 6,2
PRJ-2024-001,59ea9581,2024-05-01,EMP-5425,Helper/Laborer,PRJ-2024-001-SOV-01,8,0,32.0,1.35,Floor 5,1
PRJ-2024-001,ab2f0949,2024-05-02,EMP-2419,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 3,2
PRJ-2024-001,91d8b9cc,2024-05-02,EMP-7209,Apprentice 4th Year,PRJ-2024-001-SOV-02,8,0,52.0,1.38,Floor 3,2
PRJ-2024-001,e41c9d76,2024-05-02,EMP-8988,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 2,1
PRJ-2024-001,44a3c3d7,2024-05-02,EMP-5526,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 5,2
PRJ-2024-001,a752fd35,2024-05-02,EMP-4954,Journeyman Pipefitter,PRJ-2024-001-SOV-01,8,0,74.5,1.42,Floor 6,1
PRJ-2024-001,0e35fdef,2024-05-03,EMP-7625,Helper/Laborer,PRJ-2024-001-SOV-02,4,0,32.0,1.35,Floor 6,2
PRJ-2024-001,32c1aa57,2024-05-03,EMP-8753,Apprentice 2nd Year,PRJ-2024-001-SOV-01,8,0,38.0,1.38,Floor 5,1
PRJ-2024-001,db819988,2024-05-03,EMP-6419,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 3,2
PRJ-2024-001,6fa87581,2024-05-03,EMP-2976,Apprentice 4th Year,PRJ-2024-001-SOV-02,8,0,52.0,1.38,Floor 6,2
PRJ-2024-001,68294a1a,2024-05-03,EMP-4033,Insulator,PRJ-2024-001-SOV-01,8,0,58.0,1.4,Floor 2,1
PRJ-2024-001,2f3a6041,2024-05-06,EMP-5853,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 2,2
PRJ-2024-001,164785a8,2024-05-06,EMP-3073,Journeyman Pipefitter,PRJ-2024-001-SOV-02,10,0,74.5,1.42,Floor 3,2
PRJ-2024-001,fb8b4de8,2024-05-06,EMP-3068,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 6,1
PRJ-2024-001,f6b65ff8,2024-05-07,EMP-1841,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 3,2
PRJ-2024-001,eb3a908b,2024-05-07,EMP-7565,Insulator,PRJ-2024-001-SOV-02,8,2,58.0,1.4,Floor 4,2
PRJ-2024-001,0cee8dcc,2024-05-07,EMP-3485,Foreman,PRJ-2024-001-SOV-01,8,0,85.5,1.42,Floor 2,1
PRJ-2024-001,b3d9c08f,2024-05-07,EMP-2940,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,2,38.0,1.38,Floor 5,2
PRJ-2024-001,a241bde7,2024-05-07,EMP-4697,Journeyman Pipefitter,PRJ-2024-001-SOV-02,8,0,74.5,1.42,Floor 5,2
PRJ-2024-001,fb409649,2024-05-08,EMP-2625,Helper/Laborer,PRJ-2024-001-SOV-02,10,0,32.0,1.35,Floor 2,2
PRJ-2024-001,cca199cf,2024-05-08,EMP-3847,Apprentice 4th Year,PRJ-2024-001-SOV-01,4,0,52.0,1.38,Floor 5,1
PRJ-2024-001,462c1813,2024-05-08,EMP-8699,Journeyman Pipefitter,PRJ-2024-001-SOV-01,8,0,74.5,1.42,Floor 3,1
PRJ-2024-001,01d73c21,2024-05-08,EMP-8438,Apprentice 2nd Year,PRJ-2024-001-SOV-01,8,0,38.0,1.38,Floor 1,1
PRJ-2024-001,14271a15,2024-05-08,EMP-4241,Insulator,PRJ-2024-001-SOV-01,8,0,58.0,1.4,Floor 4,1
PRJ-2024-001,fab2641e,2024-05-09,EMP-2169,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,0,52.0,1.38,Floor 1,1
PRJ-2024-001,7e8f02bd,2024-05-09,EMP-5728,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 4,1
PRJ-2024-001,362dbc82,2024-05-10,EMP-9199,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 5,2
PRJ-2024-001,574145be,2024-05-10,EMP-8078,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 6,2
PRJ-2024-001,1964ad75,2024-05-13,EMP-5415,Apprentice 2nd Year,PRJ-2024-001-SOV-01,8,0,38.0,1.38,Floor 5,1
PRJ-2024-001,ab0b7239,2024-05-13,EMP-9502,Foreman,PRJ-2024-001-SOV-01,8,0,85.5,1.42,Floor 6,1
PRJ-2024-001,96652b2e,2024-05-13,EMP-8141,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 6,2
PRJ-2024-001,891addf9,2024-05-13,EMP-7690,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 3,2
PRJ-2024-001,d9d82e1e,2024-05-14,EMP-7561,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 5,2
PRJ-2024-001,bae132c0,2024-05-14,EMP-6296,Insulator,PRJ-2024-001-SOV-01,8,0,58.0,1.4,Floor 1,1
PRJ-2024-001,4615b7b1,2024-05-14,EMP-1018,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 6,2
PRJ-2024-001,b059feef,2024-05-14,EMP-6927,Journeyman Pipefitter,PRJ-2024-001-SOV-02,8,0,74.5,1.42,Floor 5,2
PRJ-2024-001,d8b661bf,2024-05-15,EMP-8941,Helper/Laborer,PRJ-2024-001-SOV-01,8,0,32.0,1.35,Floor 1,1
PRJ-2024-001,e24f17ee,2024-05-15,EMP-4920,Insulator,PRJ-2024-001-SOV-01,8,0,58.0,1.4,Floor 6,1
PRJ-2024-001,485bf5d5,2024-05-15,EMP-2527,Foreman,PRJ-2024-001-SOV-01,6,0,85.5,1.42,Floor 2,1
PRJ-2024-001,8f1979a6,2024-05-15,EMP-3522,Journeyman Sheet Metal,PRJ-2024-001-SOV-01,8,0,72.0,1.42,Floor 4,1
PRJ-2024-001,54cdef37,2024-05-15,EMP-8905,Journeyman Pipefitter,PRJ-2024-001-SOV-02,8,0,74.5,1.42,Floor 4,2
PRJ-2024-001,bd4c0609,2024-05-16,EMP-3236,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 1,2
PRJ-2024-001,50bf2043,2024-05-16,EMP-6568,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 5,2
PRJ-2024-001,ad7d6ddc,2024-05-16,EMP-5891,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 5,2
PRJ-2024-001,f50e8576,2024-05-17,EMP-8460,Journeyman Pipefitter,PRJ-2024-001-SOV-02,8,0,74.5,1.42,Floor 3,2
PRJ-2024-001,151bea12,2024-05-17,EMP-7274,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,0,52.0,1.38,Floor 2,1
PRJ-2024-001,73d7be08,2024-05-17,EMP-7246,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,4,38.0,1.38,Floor 4,2
PRJ-2024-001,3f33833f,2024-05-17,EMP-6439,Insulator,PRJ-2024-001-SOV-01,10,0,58.0,1.4,Floor 1,1
PRJ-2024-001,802b837e,2024-05-17,EMP-1251,Helper/Laborer,PRJ-2024-001-SOV-02,8,4,32.0,1.35,Floor 6,2
PRJ-2024-001,f0176be6,2024-05-20,EMP-6546,Insulator,PRJ-2024-001-SOV-01,8,4,58.0,1.4,Floor 5,1
PRJ-2024-001,dabb7671,2024-05-20,EMP-9742,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 4,2
PRJ-2024-001,889f1828,2024-05-20,EMP-8994,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 5,2
PRJ-2024-001,bc771ad7,2024-05-21,EMP-8110,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 1,2
PRJ-2024-001,22c4247c,2024-05-21,EMP-1474,Helper/Laborer,PRJ-2024-001-SOV-01,8,0,32.0,1.35,Floor 1,1
PRJ-2024-001,59e55639,2024-05-22,EMP-3950,Foreman,PRJ-2024-001-SOV-04,8,4,85.5,1.42,Floor 2,4
PRJ-2024-001,d53f5eb8,2024-05-22,EMP-4945,Journeyman Pipefitter,PRJ-2024-001-SOV-02,8,4,74.5,1.42,Floor 4,2
PRJ-2024-001,6b8b3a32,2024-05-22,EMP-5161,Insulator,PRJ-2024-001-SOV-05,8,4,58.0,1.4,Floor 4,5
PRJ-2024-001,97418aa7,2024-05-22,EMP-8622,Controls Technician,PRJ-2024-001-SOV-03,8,0,68.0,1.4,Floor 3,3
PRJ-2024-001,d5a61161,2024-05-23,EMP-5097,Journeyman Sheet Metal,PRJ-2024-001-SOV-05,8,0,72.0,1.42,Floor 4,5
PRJ-2024-001,69dbc40e,2024-05-23,EMP-8916,Apprentice 4th Year,PRJ-2024-001-SOV-03,8,0,52.0,1.38,Floor 1,3
PRJ-2024-001,33fba777,2024-05-23,EMP-5847,Journeyman Pipefitter,PRJ-2024-001-SOV-02,8,0,74.5,1.42,Floor 6,2
PRJ-2024-001,088e4c2d,2024-05-24,EMP-9138,Foreman,PRJ-2024-001-SOV-03,8,2,85.5,1.42,Floor 3,3
PRJ-2024-001,c3dd55a7,2024-05-24,EMP-4115,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 5,2
PRJ-2024-001,c128c002,2024-05-24,EMP-3240,Controls Technician,PRJ-2024-001-SOV-03,8,0,68.0,1.4,Floor 6,3
PRJ-2024-001,cd234973,2024-05-24,EMP-6061,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,0,52.0,1.38,Floor 4,1
PRJ-2024-001,ee414c55,2024-05-27,EMP-6352,Controls Technician,PRJ-2024-001-SOV-02,8,4,68.0,1.4,Floor 6,2
PRJ-2024-001,6005c6c4,2024-05-27,EMP-9837,Helper/Laborer,PRJ-2024-001-SOV-04,8,0,32.0,1.35,Floor 3,4
PRJ-2024-001,ac824576,2024-05-28,EMP-2233,Journeyman Pipefitter,PRJ-2024-001-SOV-03,8,0,74.5,1.42,Floor 2,3
PRJ-2024-001,a468aa83,2024-05-28,EMP-7511,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 5,2
PRJ-2024-001,5e0996ac,2024-05-28,EMP-1228,Apprentice 4th Year,PRJ-2024-001-SOV-03,8,4,52.0,1.38,Floor 3,3
PRJ-2024-001,499a7ccd,2024-05-28,EMP-5295,Insulator,PRJ-2024-001-SOV-05,8,4,58.0,1.4,Floor 5,5
PRJ-2024-001,d878de69,2024-05-29,EMP-6374,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 5,1
PRJ-2024-001,315a0db8,2024-05-29,EMP-8606,Foreman,PRJ-2024-001-SOV-02,8,0,85.5,1.42,Floor 6,2
PRJ-2024-001,8e30ac62,2024-05-29,EMP-1742,Helper/Laborer,PRJ-2024-001-SOV-03,8,0,32.0,1.35,Floor 1,3
PRJ-2024-001,62ff1fda,2024-05-29,EMP-4846,Journeyman Sheet Metal,PRJ-2024-001-SOV-03,8,0,72.0,1.42,Floor 5,3
PRJ-2024-001,d0cf3d06,2024-05-29,EMP-9850,Apprentice 4th Year,PRJ-2024-001-SOV-02,8,0,52.0,1.38,Floor 4,2
PRJ-2024-001,56850044,2024-05-30,EMP-5583,Insulator,PRJ-2024-001-SOV-04,8,0,58.0,1.4,Floor 1,4
PRJ-2024-001,685b0e81,2024-05-30,EMP-4868,Controls Technician,PRJ-2024-001-SOV-03,8,0,68.0,1.4,Floor 3,3
PRJ-2024-001,42a3cf07,2024-05-30,EMP-6876,Foreman,PRJ-2024-001-SOV-01,8,0,85.5,1.42,Floor 1,1
PRJ-2024-001,494a8650,2024-05-31,EMP-1349,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 1,2
PRJ-2024-001,5f113307,2024-05-31,EMP-4362,Journeyman Sheet Metal,PRJ-2024-001-SOV-03,8,0,72.0,1.42,Floor 1,3
PRJ-2024-001,5d7c1ea0,2024-05-31,EMP-4817,Foreman,PRJ-2024-001-SOV-05,8,0,85.5,1.42,Floor 3,5
PRJ-2024-001,b032ce03,2024-05-31,EMP-5542,Apprentice 4th Year,PRJ-2024-001-SOV-02,8,0,52.0,1.38,Floor 2,2
PRJ-2024-001,225fb883,2024-05-31,EMP-2801,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 6,2
PRJ-2024-001,408b1e24,2024-06-03,EMP-6304,Journeyman Pipefitter,PRJ-2024-001-SOV-03,8,0,74.5,1.42,Floor 1,3
PRJ-2024-001,e372beaa,2024-06-03,EMP-7897,Foreman,PRJ-2024-001-SOV-02,8,0,85.5,1.42,Floor 5,2
PRJ-2024-001,ca92ca3b,2024-06-04,EMP-2786,Journeyman Sheet Metal,PRJ-2024-001-SOV-04,8,0,72.0,1.42,Floor 4,4
PRJ-2024-001,f6539a19,2024-06-04,EMP-9543,Apprentice 4th Year,PRJ-2024-001-SOV-05,8,0,52.0,1.38,Floor 3,5
PRJ-2024-001,2121e0e1,2024-06-05,EMP-2204,Foreman,PRJ-2024-001-SOV-01,8,0,85.5,1.42,Floor 1,1
PRJ-2024-001,5d34cd60,2024-06-05,EMP-9984,Helper/Laborer,PRJ-2024-001-SOV-03,6,0,32.0,1.35,Floor 6,3
PRJ-2024-001,95049281,2024-06-05,EMP-5831,Apprentice 4th Year,PRJ-2024-001-SOV-03,8,0,52.0,1.38,Floor 4,3
PRJ-2024-001,f1dce968,2024-06-05,EMP-2874,Controls Technician,PRJ-2024-001-SOV-05,10,0,68.0,1.4,Floor 6,5
PRJ-2024-001,256887e7,2024-06-05,EMP-8398,Apprentice 2nd Year,PRJ-2024-001-SOV-05,8,0,38.0,1.38,Floor 2,5
PRJ-2024-001,044b881b,2024-06-06,EMP-5176,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 3,1
