project_id,sov_line_id,estimated_labor_hours,estimated_labor_cost,estimated_material_cost,estimated_equipment_cost,estimated_sub_cost,productivity_factor,key_assumptions
PRJ-2024-003,PRJ-2024-003-SOV-07,220,15100,52230,0,0,1.0,Rooftop units; ground-level rigging
PRJ-2024-003,PRJ-2024-003-SOV-08,180,12050,38750,0,0,1.0,Boiler and chiller setting; minimal complexity
PRJ-2024-003,PRJ-2024-003-SOV-09,200,13580,35520,0,0,1.0,Unit ventilators and fan coil units; standard installation
PRJ-2024-003,PRJ-2024-003-SOV-10,420,29280,17150,0,0,0.95,DDC controls; standard K-12 sequences
PRJ-2024-003,PRJ-2024-003-SOV-11,170,11700,6130,0,0,0.90,Programming and commissioning; 1 week duration
PRJ-2024-003,PRJ-2024-003-SOV-12,320,22100,8820,0,0,0.85,Duct and pipe insulation; accessible areas
PRJ-2024-003,PRJ-2024-003-SOV-13,0,0,0,0,11380,1.0,TAB subcontractor; 1 week; simple systems
PRJ-2024-003,PRJ-2024-003-SOV-14,90,6350,4940,0,0,1.0,Equipment startup; minimal complexity
PRJ-2024-003,PRJ-2024-003-SOV-15,110,7700,3100,0,0,1.0,O&M manuals; facility staff training
PRJ-2024-004,PRJ-2024-004-SOV-01,1020,70650,45600,0,0,1.0,Fast-track; tight schedule; premium time excluded
PRJ-2024-004,PRJ-2024-004-SOV-02,280,19550,11630,0,0,1.0,Data center submittals; tier III requirements
PRJ-2024-004,PRJ-2024-004-SOV-03,1240,86700,52400,0,0,0.85,Precision cooling distribution; tight tolerances
PRJ-2024-004,PRJ-2024-004-SOV-04,1900,131200,64800,0,0,0.80,Hot aisle/cold aisle configuration; cable tray coordination
PRJ-2024-004,PRJ-2024-004-SOV-05,1320,91650,54600,0,0,0.85,Chilled water for CRAC units; redundant piping
PRJ-2024-004,PRJ-2024-004-SOV-06,980,68150,27600,0,0,0.90,Refrigerant piping for DX cooling units
PRJ-2024-004,PRJ-2024-004-SOV-07,770,52900,208100,0,0,1.0,Precision CRAC units; critical lead times
PRJ-2024-004,PRJ-2024-004-SOV-08,630,43000,127050,0,0,1.0,Redundant chillers; N+1 configuration
PRJ-2024-004,PRJ-2024-004-SOV-09,370,25200,83850,0,0,1.0,Computer room air handlers; factory controls
PRJ-2024-004,PRJ-2024-004-SOV-10,1450,99200,61350,0,0,0.95,BMS integration; data center monitoring requirements
PRJ-2024-004,PRJ-2024-004-SOV-11,790,54400,19080,0,0,0.90,Controls commissioning; tier III validation
PRJ-2024-004,PRJ-2024-004-SOV-12,880,61600,23100,0,0,0.85,Insulation for energy efficiency; tight schedule
PRJ-2024-004,PRJ-2024-004-SOV-13,0,0,0,0,35980,1.0,TAB subcontractor; precision balancing required
PRJ-2024-004,PRJ-2024-004-SOV-14,290,19850,11280,0,0,1.0,Staged startup; redundancy testing
PRJ-2024-004,PRJ-2024-004-SOV-15,240,16450,10460,0,0,1.0,Tier III closeout documentation; operator training
PRJ-2024-005,PRJ-2024-005-SOV-01,920,63850,38000,0,0,1.0,3-building project; phased occupancy
PRJ-2024-005,PRJ-2024-005-SOV-02,470,32600,12810,0,0,1.0,Residential HVAC submittal requirements
PRJ-2024-005,PRJ-2024-005-SOV-03,1240,85750,59300,0,0,0.85,Multi-floor duct distribution; central shafts
PRJ-2024-005,PRJ-2024-005-SOV-04,1260,86900,49050,0,0,0.85,Repetitive unit layout; learning curve benefit
PRJ-2024-005,PRJ-2024-005-SOV-05,1300,89550,49800,0,0,0.85,Hydronic heating distribution; 3 buildings
PRJ-2024-005,PRJ-2024-005-SOV-06,950,66850,28970,0,0,0.90,Split system condensers; balcony mounting
PRJ-2024-005,PRJ-2024-005-SOV-07,380,25800,135900,0,0,1.0,RTUs for common areas; rooftop placement
PRJ-2024-005,PRJ-2024-005-SOV-08,380,25700,102050,0,0,1.0,Central boilers; domestic hot water integration
PRJ-2024-005,PRJ-2024-005-SOV-09,290,19970,70880,0,0,1.0,Fan coil units for dwelling units; bulk purchasing
PRJ-2024-005,PRJ-2024-005-SOV-10,960,66400,44950,0,0,0.95,Unit-level thermostats; central BMS for common areas
PRJ-2024-005,PRJ-2024-005-SOV-11,500,34950,18730,0,0,0.90,Controls commissioning; phased by building
PRJ-2024-005,PRJ-2024-005-SOV-12,850,59450,31400,0,0,0.85,Insulation in common areas and shafts
PRJ-2024-005,PRJ-2024-005-SOV-13,0,0,0,0,34710,1.0,TAB subcontractor; phased testing by building
PRJ-2024-005,PRJ-2024-005-SOV-14,400,28200,14170,0,0,1.0,Phased startup; coordinate with occupancy
PRJ-2024-005,PRJ-2024-005-SOV-15,140,9770,5950,0,0,1.0,Residential turnover documentation; owner training
